Epoch 38 | KGC loss: 0.404491, DiffHEG loss 47.900352:  10%|▉         | 39/400 [05:43<53:06,  8.83s/it]
Epoch 39 | KGC loss: 0.409338, DiffHEG loss 47.900680:  10%|▉         | 39/400 [05:52<53:06,  8.83s/it]
Epoch 39 | KGC loss: 0.409338, DiffHEG loss 47.900680:  10%|█         | 40/400 [05:52<52:57,  8.83s/it]
Epoch 40 | KGC loss: 0.411934, DiffHEG loss 47.899574:  10%|█         | 40/400 [06:01<52:57,  8.83s/it]
Epoch 40 | KGC loss: 0.411934, DiffHEG loss 47.899574:  10%|█         | 41/400 [06:01<52:51,  8.84s/it]
Epoch 41 | KGC loss: 0.414035, DiffHEG loss 47.894690:  10%|█         | 41/400 [06:10<52:51,  8.84s/it]
Epoch 41 | KGC loss: 0.414035, DiffHEG loss 47.894690:  10%|█         | 42/400 [06:10<52:43,  8.84s/it]
Epoch 42 | KGC loss: 0.414791, DiffHEG loss 47.908208:  10%|█         | 42/400 [06:19<52:43,  8.84s/it]
Epoch 42 | KGC loss: 0.414791, DiffHEG loss 47.908208:  11%|█         | 43/400 [06:19<52:36,  8.84s/it]
Epoch 43 | KGC loss: 0.410538, DiffHEG loss 47.903178:  11%|█         | 43/400 [06:27<52:36,  8.84s/it]
Epoch 43 | KGC loss: 0.410538, DiffHEG loss 47.903178:  11%|█         | 44/400 [06:27<52:29,  8.85s/it]
Epoch 44 | KGC loss: 0.411587, DiffHEG loss 47.900523:  11%|█         | 44/400 [06:36<52:29,  8.85s/it]
Epoch 44 | KGC loss: 0.411587, DiffHEG loss 47.900523:  11%|█▏        | 45/400 [06:36<52:22,  8.85s/it]
Epoch 45 | KGC loss: 0.405372, DiffHEG loss 47.915746:  11%|█▏        | 45/400 [06:45<52:22,  8.85s/it]
Epoch 45 | KGC loss: 0.405372, DiffHEG loss 47.915746:  12%|█▏        | 46/400 [06:45<52:13,  8.85s/it]
Epoch 46 | KGC loss: 0.408999, DiffHEG loss 47.907023:  12%|█▏        | 46/400 [06:54<52:13,  8.85s/it]
Epoch 46 | KGC loss: 0.408999, DiffHEG loss 47.907023:  12%|█▏        | 47/400 [06:54<52:01,  8.84s/it]
Epoch 47 | KGC loss: 0.402565, DiffHEG loss 47.912597:  12%|█▏        | 47/400 [07:03<52:01,  8.84s/it]
Epoch 47 | KGC loss: 0.402565, DiffHEG loss 47.912597:  12%|█▏        | 48/400 [07:03<51:53,  8.84s/it]
Epoch 48 | KGC loss: 0.419591, DiffHEG loss 47.901424:  12%|█▏        | 48/400 [07:12<51:53,  8.84s/it]
Epoch 48 | KGC loss: 0.419591, DiffHEG loss 47.901424:  12%|█▏        | 49/400 [07:12<51:44,  8.84s/it]
Epoch 49 | KGC loss: 0.411450, DiffHEG loss 47.911541:  12%|█▏        | 49/400 [07:20<51:44,  8.84s/it]
Epoch 49 | KGC loss: 0.411450, DiffHEG loss 47.911541:  12%|█▎        | 50/400 [07:20<51:34,  8.84s/it]
Epoch 50 | KGC loss: 0.417884, DiffHEG loss 47.904012:  12%|█▎        | 50/400 [07:29<51:34,  8.84s/it]
Epoch 50 | KGC loss: 0.417884, DiffHEG loss 47.904012:  13%|█▎        | 51/400 [07:29<51:25,  8.84s/it]
Epoch 51 | KGC loss: 0.436457, DiffHEG loss 47.895584:  13%|█▎        | 51/400 [07:38<51:25,  8.84s/it]
Epoch 51 | KGC loss: 0.436457, DiffHEG loss 47.895584:  13%|█▎        | 52/400 [07:38<51:16,  8.84s/it]
Epoch 52 | KGC loss: 0.430337, DiffHEG loss 47.954022:  13%|█▎        | 52/400 [07:47<51:16,  8.84s/it]
Epoch 52 | KGC loss: 0.430337, DiffHEG loss 47.954022:  13%|█▎        | 53/400 [07:47<51:08,  8.84s/it]
Epoch 53 | KGC loss: 0.421355, DiffHEG loss 47.926027:  13%|█▎        | 53/400 [07:56<51:08,  8.84s/it]
Epoch 53 | KGC loss: 0.421355, DiffHEG loss 47.926027:  14%|█▎        | 54/400 [07:56<50:59,  8.84s/it]
Epoch 54 | KGC loss: 0.425387, DiffHEG loss 47.890925:  14%|█▎        | 54/400 [08:05<50:59,  8.84s/it]
Epoch 54 | KGC loss: 0.425387, DiffHEG loss 47.890925:  14%|█▍        | 55/400 [08:05<50:50,  8.84s/it]
Epoch 55 | KGC loss: 0.429871, DiffHEG loss 48.228901:  14%|█▍        | 55/400 [08:13<50:50,  8.84s/it]
Epoch 55 | KGC loss: 0.429871, DiffHEG loss 48.228901:  14%|█▍        | 56/400 [08:13<50:40,  8.84s/it]
Epoch 56 | KGC loss: 0.430420, DiffHEG loss 47.990002:  14%|█▍        | 56/400 [08:22<50:40,  8.84s/it]
Epoch 56 | KGC loss: 0.430420, DiffHEG loss 47.990002:  14%|█▍        | 57/400 [08:22<50:30,  8.84s/it]
Epoch 57 | KGC loss: 0.443060, DiffHEG loss 47.927479:  14%|█▍        | 57/400 [08:31<50:30,  8.84s/it]
Epoch 57 | KGC loss: 0.443060, DiffHEG loss 47.927479:  14%|█▍        | 58/400 [08:31<50:20,  8.83s/it]
Epoch 58 | KGC loss: 0.421332, DiffHEG loss 47.912455:  14%|█▍        | 58/400 [08:40<50:20,  8.83s/it]
Epoch 58 | KGC loss: 0.421332, DiffHEG loss 47.912455:  15%|█▍        | 59/400 [08:40<50:11,  8.83s/it]
Epoch 59 | KGC loss: 0.436422, DiffHEG loss 47.910109:  15%|█▍        | 59/400 [08:49<50:11,  8.83s/it]
Epoch 59 | KGC loss: 0.436422, DiffHEG loss 47.910109:  15%|█▌        | 60/400 [08:49<49:59,  8.82s/it]
Epoch 60 | KGC loss: 0.428594, DiffHEG loss 47.916261:  15%|█▌        | 60/400 [08:58<49:59,  8.82s/it]
