Epoch 38 | KGC loss: 0.409238, DiffHEG loss 47.883963:  10%|▉         | 39/400 [05:47<53:24,  8.88s/it]
Epoch 39 | KGC loss: 0.399137, DiffHEG loss 47.881731:  10%|▉         | 39/400 [05:56<53:24,  8.88s/it]
Epoch 39 | KGC loss: 0.399137, DiffHEG loss 47.881731:  10%|█         | 40/400 [05:56<53:13,  8.87s/it]
Epoch 40 | KGC loss: 0.392653, DiffHEG loss 47.886182:  10%|█         | 40/400 [06:05<53:13,  8.87s/it]
Epoch 40 | KGC loss: 0.392653, DiffHEG loss 47.886182:  10%|█         | 41/400 [06:05<53:03,  8.87s/it]
Epoch 41 | KGC loss: 0.387758, DiffHEG loss 47.892203:  10%|█         | 41/400 [06:14<53:03,  8.87s/it]
Epoch 41 | KGC loss: 0.387758, DiffHEG loss 47.892203:  10%|█         | 42/400 [06:14<52:58,  8.88s/it]
Epoch 42 | KGC loss: 0.390978, DiffHEG loss 47.892352:  10%|█         | 42/400 [06:23<52:58,  8.88s/it]
Epoch 42 | KGC loss: 0.390978, DiffHEG loss 47.892352:  11%|█         | 43/400 [06:23<52:47,  8.87s/it]
Epoch 43 | KGC loss: 0.384107, DiffHEG loss 47.883276:  11%|█         | 43/400 [06:32<52:47,  8.87s/it]
Epoch 43 | KGC loss: 0.384107, DiffHEG loss 47.883276:  11%|█         | 44/400 [06:32<52:37,  8.87s/it]
Epoch 44 | KGC loss: 0.376264, DiffHEG loss 47.892642:  11%|█         | 44/400 [06:40<52:37,  8.87s/it]
Epoch 44 | KGC loss: 0.376264, DiffHEG loss 47.892642:  11%|█▏        | 45/400 [06:40<52:30,  8.87s/it]
Epoch 45 | KGC loss: 0.379561, DiffHEG loss 47.891904:  11%|█▏        | 45/400 [06:49<52:30,  8.87s/it]
Epoch 45 | KGC loss: 0.379561, DiffHEG loss 47.891904:  12%|█▏        | 46/400 [06:49<52:20,  8.87s/it]
Epoch 46 | KGC loss: 0.373553, DiffHEG loss 47.894116:  12%|█▏        | 46/400 [06:58<52:20,  8.87s/it]
Epoch 46 | KGC loss: 0.373553, DiffHEG loss 47.894116:  12%|█▏        | 47/400 [06:58<52:11,  8.87s/it]
Epoch 47 | KGC loss: 0.375839, DiffHEG loss 47.892403:  12%|█▏        | 47/400 [07:07<52:11,  8.87s/it]
Epoch 47 | KGC loss: 0.375839, DiffHEG loss 47.892403:  12%|█▏        | 48/400 [07:07<52:06,  8.88s/it]
Epoch 48 | KGC loss: 0.378287, DiffHEG loss 47.889420:  12%|█▏        | 48/400 [07:16<52:06,  8.88s/it]
Epoch 48 | KGC loss: 0.378287, DiffHEG loss 47.889420:  12%|█▏        | 49/400 [07:16<51:56,  8.88s/it]
Epoch 49 | KGC loss: 0.371867, DiffHEG loss 47.890105:  12%|█▏        | 49/400 [07:25<51:56,  8.88s/it]
Epoch 49 | KGC loss: 0.371867, DiffHEG loss 47.890105:  12%|█▎        | 50/400 [07:25<51:45,  8.87s/it]
Epoch 50 | KGC loss: 0.371446, DiffHEG loss 47.901125:  12%|█▎        | 50/400 [07:34<51:45,  8.87s/it]
Epoch 50 | KGC loss: 0.371446, DiffHEG loss 47.901125:  13%|█▎        | 51/400 [07:34<51:34,  8.87s/it]
Epoch 51 | KGC loss: 0.383904, DiffHEG loss 47.890831:  13%|█▎        | 51/400 [07:43<51:34,  8.87s/it]
Epoch 51 | KGC loss: 0.383904, DiffHEG loss 47.890831:  13%|█▎        | 52/400 [07:43<51:24,  8.86s/it]
Epoch 52 | KGC loss: 0.369034, DiffHEG loss 47.893314:  13%|█▎        | 52/400 [07:51<51:24,  8.86s/it]
Epoch 52 | KGC loss: 0.369034, DiffHEG loss 47.893314:  13%|█▎        | 53/400 [07:51<51:17,  8.87s/it]
Epoch 53 | KGC loss: 0.367188, DiffHEG loss 47.888834:  13%|█▎        | 53/400 [08:00<51:17,  8.87s/it]
Epoch 53 | KGC loss: 0.367188, DiffHEG loss 47.888834:  14%|█▎        | 54/400 [08:00<51:08,  8.87s/it]
Epoch 54 | KGC loss: 0.369637, DiffHEG loss 47.888246:  14%|█▎        | 54/400 [08:09<51:08,  8.87s/it]
Epoch 54 | KGC loss: 0.369637, DiffHEG loss 47.888246:  14%|█▍        | 55/400 [08:09<50:59,  8.87s/it]
Epoch 55 | KGC loss: 0.366916, DiffHEG loss 47.899717:  14%|█▍        | 55/400 [08:18<50:59,  8.87s/it]
Epoch 55 | KGC loss: 0.366916, DiffHEG loss 47.899717:  14%|█▍        | 56/400 [08:18<50:52,  8.87s/it]
Epoch 56 | KGC loss: 0.374123, DiffHEG loss 47.889362:  14%|█▍        | 56/400 [08:27<50:52,  8.87s/it]
Epoch 56 | KGC loss: 0.374123, DiffHEG loss 47.889362:  14%|█▍        | 57/400 [08:27<50:41,  8.87s/it]
Epoch 57 | KGC loss: 0.373306, DiffHEG loss 47.896456:  14%|█▍        | 57/400 [08:36<50:41,  8.87s/it]
Epoch 57 | KGC loss: 0.373306, DiffHEG loss 47.896456:  14%|█▍        | 58/400 [08:36<50:33,  8.87s/it]
Epoch 58 | KGC loss: 0.361754, DiffHEG loss 47.887013:  14%|█▍        | 58/400 [08:45<50:33,  8.87s/it]
Epoch 58 | KGC loss: 0.361754, DiffHEG loss 47.887013:  15%|█▍        | 59/400 [08:45<50:24,  8.87s/it]
Epoch 59 | KGC loss: 0.368987, DiffHEG loss 47.896387:  15%|█▍        | 59/400 [08:53<50:24,  8.87s/it]
Epoch 59 | KGC loss: 0.368987, DiffHEG loss 47.896387:  15%|█▌        | 60/400 [08:53<50:14,  8.87s/it]
Epoch 60 | KGC loss: 0.370741, DiffHEG loss 47.899270:  15%|█▌        | 60/400 [09:02<50:14,  8.87s/it]
Epoch 60 | KGC loss: 0.370741, DiffHEG loss 47.899270:  15%|█▌        | 61/400 [09:02<50:04,  8.86s/it]
Epoch 61 | KGC loss: 0.376123, DiffHEG loss 47.893549:  15%|█▌        | 61/400 [09:11<50:04,  8.86s/it]
Epoch 61 | KGC loss: 0.376123, DiffHEG loss 47.893549:  16%|█▌        | 62/400 [09:11<49:55,  8.86s/it]
Epoch 62 | KGC loss: 0.364111, DiffHEG loss 47.884256:  16%|█▌        | 62/400 [09:20<49:55,  8.86s/it]
Epoch 62 | KGC loss: 0.364111, DiffHEG loss 47.884256:  16%|█▌        | 63/400 [09:20<49:46,  8.86s/it]
Epoch 63 | KGC loss: 0.362871, DiffHEG loss 47.898367:  16%|█▌        | 63/400 [09:29<49:46,  8.86s/it]
Epoch 63 | KGC loss: 0.362871, DiffHEG loss 47.898367:  16%|█▌        | 64/400 [09:29<49:38,  8.86s/it]
Epoch 64 | KGC loss: 0.362304, DiffHEG loss 47.892696:  16%|█▌        | 64/400 [09:38<49:38,  8.86s/it]
Epoch 64 | KGC loss: 0.362304, DiffHEG loss 47.892696:  16%|█▋        | 65/400 [09:38<49:31,  8.87s/it]
Epoch 65 | KGC loss: 0.360949, DiffHEG loss 47.893957:  16%|█▋        | 65/400 [09:47<49:31,  8.87s/it]
Epoch 65 | KGC loss: 0.360949, DiffHEG loss 47.893957:  16%|█▋        | 66/400 [09:47<49:21,  8.87s/it]
Epoch 66 | KGC loss: 0.360516, DiffHEG loss 47.887941:  16%|█▋        | 66/400 [09:56<49:21,  8.87s/it]
Epoch 66 | KGC loss: 0.360516, DiffHEG loss 47.887941:  17%|█▋        | 67/400 [09:56<49:13,  8.87s/it]
Epoch 67 | KGC loss: 0.376395, DiffHEG loss 47.892508:  17%|█▋        | 67/400 [10:04<49:13,  8.87s/it]
Epoch 67 | KGC loss: 0.376395, DiffHEG loss 47.892508:  17%|█▋        | 68/400 [10:04<49:05,  8.87s/it]
Epoch 68 | KGC loss: 0.374212, DiffHEG loss 47.897293:  17%|█▋        | 68/400 [10:13<49:05,  8.87s/it]
Epoch 68 | KGC loss: 0.374212, DiffHEG loss 47.897293:  17%|█▋        | 69/400 [10:13<48:56,  8.87s/it]
Epoch 69 | KGC loss: 0.382760, DiffHEG loss 47.901229:  17%|█▋        | 69/400 [10:22<48:56,  8.87s/it]
Epoch 69 | KGC loss: 0.382760, DiffHEG loss 47.901229:  18%|█▊        | 70/400 [10:22<48:46,  8.87s/it]
Epoch 70 | KGC loss: 0.381027, DiffHEG loss 47.901235:  18%|█▊        | 70/400 [10:31<48:46,  8.87s/it]
Epoch 70 | KGC loss: 0.381027, DiffHEG loss 47.901235:  18%|█▊        | 71/400 [10:31<48:37,  8.87s/it]
Epoch 71 | KGC loss: 0.395609, DiffHEG loss 47.897902:  18%|█▊        | 71/400 [10:40<48:37,  8.87s/it]
Epoch 71 | KGC loss: 0.395609, DiffHEG loss 47.897902:  18%|█▊        | 72/400 [10:40<48:27,  8.87s/it]
Epoch 72 | KGC loss: 0.387513, DiffHEG loss 47.899859:  18%|█▊        | 72/400 [10:49<48:27,  8.87s/it]
Epoch 72 | KGC loss: 0.387513, DiffHEG loss 47.899859:  18%|█▊        | 73/400 [10:49<48:18,  8.87s/it]
Epoch 73 | KGC loss: 0.397201, DiffHEG loss 47.891235:  18%|█▊        | 73/400 [10:58<48:18,  8.87s/it]
Epoch 73 | KGC loss: 0.397201, DiffHEG loss 47.891235:  18%|█▊        | 74/400 [10:58<48:09,  8.86s/it]
Epoch 74 | KGC loss: 0.395490, DiffHEG loss 47.895498:  18%|█▊        | 74/400 [11:06<48:09,  8.86s/it]
Epoch 74 | KGC loss: 0.395490, DiffHEG loss 47.895498:  19%|█▉        | 75/400 [11:06<48:01,  8.87s/it]
Epoch 75 | KGC loss: 0.401259, DiffHEG loss 47.901124:  19%|█▉        | 75/400 [11:15<48:01,  8.87s/it]
Epoch 75 | KGC loss: 0.401259, DiffHEG loss 47.901124:  19%|█▉        | 76/400 [11:15<47:53,  8.87s/it]
Epoch 76 | KGC loss: 0.397804, DiffHEG loss 47.903747:  19%|█▉        | 76/400 [11:24<47:53,  8.87s/it]
Epoch 76 | KGC loss: 0.397804, DiffHEG loss 47.903747:  19%|█▉        | 77/400 [11:24<47:45,  8.87s/it]
Epoch 77 | KGC loss: 0.389857, DiffHEG loss 47.901874:  19%|█▉        | 77/400 [11:33<47:45,  8.87s/it]
Epoch 77 | KGC loss: 0.389857, DiffHEG loss 47.901874:  20%|█▉        | 78/400 [11:33<47:36,  8.87s/it]
Epoch 78 | KGC loss: 0.387263, DiffHEG loss 47.900181:  20%|█▉        | 78/400 [11:42<47:36,  8.87s/it]
Epoch 78 | KGC loss: 0.387263, DiffHEG loss 47.900181:  20%|█▉        | 79/400 [11:42<47:27,  8.87s/it]
Epoch 79 | KGC loss: 0.399544, DiffHEG loss 47.898933:  20%|█▉        | 79/400 [11:51<47:27,  8.87s/it]
Epoch 79 | KGC loss: 0.399544, DiffHEG loss 47.898933:  20%|██        | 80/400 [11:51<47:21,  8.88s/it]
Epoch 80 | KGC loss: 0.394380, DiffHEG loss 47.892300:  20%|██        | 80/400 [12:00<47:21,  8.88s/it]
Epoch 80 | KGC loss: 0.394380, DiffHEG loss 47.892300:  20%|██        | 81/400 [12:00<47:12,  8.88s/it]
Epoch 81 | KGC loss: 0.403832, DiffHEG loss 47.886087:  20%|██        | 81/400 [12:09<47:12,  8.88s/it]
Epoch 81 | KGC loss: 0.403832, DiffHEG loss 47.886087:  20%|██        | 82/400 [12:09<47:03,  8.88s/it]
Epoch 82 | KGC loss: 0.402497, DiffHEG loss 47.899313:  20%|██        | 82/400 [12:18<47:03,  8.88s/it]
Epoch 82 | KGC loss: 0.402497, DiffHEG loss 47.899313:  21%|██        | 83/400 [12:18<46:55,  8.88s/it]
Epoch 83 | KGC loss: 0.395749, DiffHEG loss 47.899680:  21%|██        | 83/400 [12:26<46:55,  8.88s/it]
Epoch 83 | KGC loss: 0.395749, DiffHEG loss 47.899680:  21%|██        | 84/400 [12:26<46:42,  8.87s/it]
Epoch 84 | KGC loss: 0.417629, DiffHEG loss 47.892594:  21%|██        | 84/400 [12:35<46:42,  8.87s/it]
Epoch 84 | KGC loss: 0.417629, DiffHEG loss 47.892594:  21%|██▏       | 85/400 [12:35<46:30,  8.86s/it]
Epoch 85 | KGC loss: 0.411504, DiffHEG loss 47.898057:  21%|██▏       | 85/400 [12:44<46:30,  8.86s/it]
Epoch 85 | KGC loss: 0.411504, DiffHEG loss 47.898057:  22%|██▏       | 86/400 [12:44<46:21,  8.86s/it]
Epoch 86 | KGC loss: 0.412098, DiffHEG loss 47.901709:  22%|██▏       | 86/400 [12:53<46:21,  8.86s/it]
Epoch 86 | KGC loss: 0.412098, DiffHEG loss 47.901709:  22%|██▏       | 87/400 [12:53<46:11,  8.86s/it]
Epoch 87 | KGC loss: 0.404322, DiffHEG loss 47.892642:  22%|██▏       | 87/400 [13:02<46:11,  8.86s/it]
