method_key,method,approach,workload,validation_protocol,mrr_mean,mrr_std,hit1_mean,hit1_std,hit3_mean,hit3_std,hit10_mean,hit10_std,selected_temperature_values
full_hpsac_table5,Full HPSAC (Table 5),Original groupwise search over lambda and alpha.,reference,full_validation,0.2824904103233326,0.013031262486967515,0.21973964200776067,0.014020813132173399,0.31706095881837526,0.013239724721313927,0.3946676680435599,0.008356820534835871,[]
fixed,Fixed parameters,No group search; use lambda=0.25 and alpha=0.0 for every group.,very_low,separate_50_50,0.2328572511001135,0.011510898519416703,0.17880836149705845,0.007778568068024094,0.2603579922393291,0.01626069561734102,0.3327700588308925,0.01726388448352262,[]
alpha_only,Alpha-only calibration,Fix lambda=0.25 and run groupwise Pareto-safe search over alpha.,low,separate_50_50,0.26146747046044433,0.012289179576944033,0.20190261609713356,0.010678032201787768,0.2920265364876706,0.016070973132780327,0.37163599949931153,0.008722843825739365,[]
temperature,Temperature scaling,Search a global positive T on validation and evaluate score/T.,low,separate_50_50,0.2328572511001135,0.011510898519416703,0.17880836149705845,0.007778568068024094,0.2603579922393291,0.01626069561734102,0.3327700588308925,0.01726388448352262,"[1.0, 1.0, 1.0]"
