Epoch 38 | KGC loss: 1.763094, DiffHEG loss 81.440470:  10%|▉         | 38/400 [09:51<1:31:18, 15.13s/it]
Epoch 38 | KGC loss: 1.763094, DiffHEG loss 81.440470:  10%|▉         | 39/400 [09:51<1:31:02, 15.13s/it]
Epoch 39 | KGC loss: 1.812022, DiffHEG loss 81.439645:  10%|▉         | 39/400 [10:06<1:31:02, 15.13s/it]
Epoch 39 | KGC loss: 1.812022, DiffHEG loss 81.439645:  10%|█         | 40/400 [10:06<1:30:46, 15.13s/it]
Epoch 40 | KGC loss: 1.791847, DiffHEG loss 81.433114:  10%|█         | 40/400 [10:21<1:30:46, 15.13s/it]
Epoch 40 | KGC loss: 1.791847, DiffHEG loss 81.433114:  10%|█         | 41/400 [10:21<1:30:33, 15.13s/it]
Epoch 41 | KGC loss: 1.812540, DiffHEG loss 81.423725:  10%|█         | 41/400 [10:36<1:30:33, 15.13s/it]
Epoch 41 | KGC loss: 1.812540, DiffHEG loss 81.423725:  10%|█         | 42/400 [10:36<1:30:21, 15.14s/it]
Epoch 42 | KGC loss: 1.772517, DiffHEG loss 81.425510:  10%|█         | 42/400 [10:51<1:30:21, 15.14s/it]
Epoch 42 | KGC loss: 1.772517, DiffHEG loss 81.425510:  11%|█         | 43/400 [10:51<1:30:06, 15.14s/it]
Epoch 43 | KGC loss: 1.810474, DiffHEG loss 81.412773:  11%|█         | 43/400 [11:07<1:30:06, 15.14s/it]
Epoch 43 | KGC loss: 1.810474, DiffHEG loss 81.412773:  11%|█         | 44/400 [11:07<1:29:55, 15.15s/it]
Epoch 44 | KGC loss: 1.758437, DiffHEG loss 81.422271:  11%|█         | 44/400 [11:22<1:29:55, 15.15s/it]
Epoch 44 | KGC loss: 1.758437, DiffHEG loss 81.422271:  11%|█▏        | 45/400 [11:22<1:29:38, 15.15s/it]
Epoch 45 | KGC loss: 1.811238, DiffHEG loss 81.408261:  11%|█▏        | 45/400 [11:37<1:29:38, 15.15s/it]
Epoch 45 | KGC loss: 1.811238, DiffHEG loss 81.408261:  12%|█▏        | 46/400 [11:37<1:29:25, 15.16s/it]
Epoch 46 | KGC loss: 1.780223, DiffHEG loss 81.398547:  12%|█▏        | 46/400 [11:52<1:29:25, 15.16s/it]
Epoch 46 | KGC loss: 1.780223, DiffHEG loss 81.398547:  12%|█▏        | 47/400 [11:52<1:29:10, 15.16s/it]
Epoch 47 | KGC loss: 1.814950, DiffHEG loss 81.495140:  12%|█▏        | 47/400 [12:07<1:29:10, 15.16s/it]
Epoch 47 | KGC loss: 1.814950, DiffHEG loss 81.495140:  12%|█▏        | 48/400 [12:07<1:28:58, 15.17s/it]
Epoch 48 | KGC loss: 1.779153, DiffHEG loss 81.438841:  12%|█▏        | 48/400 [12:22<1:28:58, 15.17s/it]
Epoch 48 | KGC loss: 1.779153, DiffHEG loss 81.438841:  12%|█▏        | 49/400 [12:22<1:28:41, 15.16s/it]
Epoch 49 | KGC loss: 1.813220, DiffHEG loss 81.416345:  12%|█▏        | 49/400 [12:38<1:28:41, 15.16s/it]
Epoch 49 | KGC loss: 1.813220, DiffHEG loss 81.416345:  12%|█▎        | 50/400 [12:38<1:28:26, 15.16s/it]
Epoch 50 | KGC loss: 1.768207, DiffHEG loss 81.372077:  12%|█▎        | 50/400 [12:53<1:28:26, 15.16s/it]
Epoch 50 | KGC loss: 1.768207, DiffHEG loss 81.372077:  13%|█▎        | 51/400 [12:53<1:28:08, 15.15s/it]
Epoch 51 | KGC loss: 1.799494, DiffHEG loss 81.467087:  13%|█▎        | 51/400 [13:08<1:28:08, 15.15s/it]
Epoch 51 | KGC loss: 1.799494, DiffHEG loss 81.467087:  13%|█▎        | 52/400 [13:08<1:27:59, 15.17s/it]
Epoch 52 | KGC loss: 1.758969, DiffHEG loss 81.492451:  13%|█▎        | 52/400 [13:23<1:27:59, 15.17s/it]
Epoch 52 | KGC loss: 1.758969, DiffHEG loss 81.492451:  13%|█▎        | 53/400 [13:23<1:27:42, 15.17s/it]
Epoch 53 | KGC loss: 1.807526, DiffHEG loss 81.542757:  13%|█▎        | 53/400 [13:38<1:27:42, 15.17s/it]
Epoch 53 | KGC loss: 1.807526, DiffHEG loss 81.542757:  14%|█▎        | 54/400 [13:38<1:27:19, 15.14s/it]
Epoch 54 | KGC loss: 1.770862, DiffHEG loss 81.509428:  14%|█▎        | 54/400 [13:53<1:27:19, 15.14s/it]
Epoch 54 | KGC loss: 1.770862, DiffHEG loss 81.509428:  14%|█▍        | 55/400 [13:53<1:26:57, 15.12s/it]
Epoch 55 | KGC loss: 1.812228, DiffHEG loss 81.502557:  14%|█▍        | 55/400 [14:08<1:26:57, 15.12s/it]
Epoch 55 | KGC loss: 1.812228, DiffHEG loss 81.502557:  14%|█▍        | 56/400 [14:08<1:26:37, 15.11s/it]
Epoch 56 | KGC loss: 1.764400, DiffHEG loss 81.474952:  14%|█▍        | 56/400 [14:23<1:26:37, 15.11s/it]
Epoch 56 | KGC loss: 1.764400, DiffHEG loss 81.474952:  14%|█▍        | 57/400 [14:23<1:26:19, 15.10s/it]
Epoch 57 | KGC loss: 1.825128, DiffHEG loss 81.458951:  14%|█▍        | 57/400 [14:39<1:26:19, 15.10s/it]
Epoch 57 | KGC loss: 1.825128, DiffHEG loss 81.458951:  14%|█▍        | 58/400 [14:39<1:26:02, 15.10s/it]
Epoch 58 | KGC loss: 1.801304, DiffHEG loss 81.462381:  14%|█▍        | 58/400 [14:54<1:26:02, 15.10s/it]
Epoch 58 | KGC loss: 1.801304, DiffHEG loss 81.462381:  15%|█▍        | 59/400 [14:54<1:25:47, 15.09s/it]
Epoch 59 | KGC loss: 1.803030, DiffHEG loss 81.460638:  15%|█▍        | 59/400 [15:09<1:25:47, 15.09s/it]
Epoch 59 | KGC loss: 1.803030, DiffHEG loss 81.460638:  15%|█▌        | 60/400 [15:09<1:25:30, 15.09s/it]
Epoch 60 | KGC loss: 1.762229, DiffHEG loss 81.442223:  15%|█▌        | 60/400 [15:24<1:25:30, 15.09s/it]
Epoch 60 | KGC loss: 1.762229, DiffHEG loss 81.442223:  15%|█▌        | 61/400 [15:24<1:25:11, 15.08s/it]
Epoch 61 | KGC loss: 1.806963, DiffHEG loss 81.458101:  15%|█▌        | 61/400 [15:39<1:25:11, 15.08s/it]
Epoch 61 | KGC loss: 1.806963, DiffHEG loss 81.458101:  16%|█▌        | 62/400 [15:39<1:24:58, 15.09s/it]
Epoch 62 | KGC loss: 1.775311, DiffHEG loss 81.443089:  16%|█▌        | 62/400 [15:54<1:24:58, 15.09s/it]
Epoch 62 | KGC loss: 1.775311, DiffHEG loss 81.443089:  16%|█▌        | 63/400 [15:54<1:24:46, 15.09s/it]
Epoch 63 | KGC loss: 1.795220, DiffHEG loss 81.441858:  16%|█▌        | 63/400 [16:09<1:24:46, 15.09s/it]
Epoch 63 | KGC loss: 1.795220, DiffHEG loss 81.441858:  16%|█▌        | 64/400 [16:09<1:24:30, 15.09s/it]
Epoch 64 | KGC loss: 1.749420, DiffHEG loss 81.446002:  16%|█▌        | 64/400 [16:24<1:24:30, 15.09s/it]
Epoch 64 | KGC loss: 1.749420, DiffHEG loss 81.446002:  16%|█▋        | 65/400 [16:24<1:24:14, 15.09s/it]
Epoch 65 | KGC loss: 1.784833, DiffHEG loss 81.442973:  16%|█▋        | 65/400 [16:39<1:24:14, 15.09s/it]
Epoch 65 | KGC loss: 1.784833, DiffHEG loss 81.442973:  16%|█▋        | 66/400 [16:39<1:23:58, 15.09s/it]
Epoch 66 | KGC loss: 1.770836, DiffHEG loss 81.430757:  16%|█▋        | 66/400 [16:54<1:23:58, 15.09s/it]
Epoch 66 | KGC loss: 1.770836, DiffHEG loss 81.430757:  17%|█▋        | 67/400 [16:54<1:23:42, 15.08s/it]
