Epoch 38 | KGC loss: 1.791201, DiffHEG loss 81.444153:  10%|▉         | 38/400 [10:42<1:39:26, 16.48s/it]
Epoch 38 | KGC loss: 1.791201, DiffHEG loss 81.444153:  10%|▉         | 39/400 [10:42<1:39:06, 16.47s/it]
Epoch 39 | KGC loss: 1.836703, DiffHEG loss 81.442825:  10%|▉         | 39/400 [10:59<1:39:06, 16.47s/it]
Epoch 39 | KGC loss: 1.836703, DiffHEG loss 81.442825:  10%|█         | 40/400 [10:59<1:38:48, 16.47s/it]
Epoch 40 | KGC loss: 1.802140, DiffHEG loss 81.427513:  10%|█         | 40/400 [11:15<1:38:48, 16.47s/it]
Epoch 40 | KGC loss: 1.802140, DiffHEG loss 81.427513:  10%|█         | 41/400 [11:15<1:38:31, 16.47s/it]
Epoch 41 | KGC loss: 1.829373, DiffHEG loss 81.422848:  10%|█         | 41/400 [11:32<1:38:31, 16.47s/it]
Epoch 41 | KGC loss: 1.829373, DiffHEG loss 81.422848:  10%|█         | 42/400 [11:32<1:38:17, 16.47s/it]
Epoch 42 | KGC loss: 1.789996, DiffHEG loss 81.405864:  10%|█         | 42/400 [11:48<1:38:17, 16.47s/it]
Epoch 42 | KGC loss: 1.789996, DiffHEG loss 81.405864:  11%|█         | 43/400 [11:48<1:38:03, 16.48s/it]
Epoch 43 | KGC loss: 1.828414, DiffHEG loss 81.401503:  11%|█         | 43/400 [12:05<1:38:03, 16.48s/it]
Epoch 43 | KGC loss: 1.828414, DiffHEG loss 81.401503:  11%|█         | 44/400 [12:05<1:37:46, 16.48s/it]
Epoch 44 | KGC loss: 1.785607, DiffHEG loss 81.370289:  11%|█         | 44/400 [12:21<1:37:46, 16.48s/it]
Epoch 44 | KGC loss: 1.785607, DiffHEG loss 81.370289:  11%|█▏        | 45/400 [12:21<1:37:31, 16.48s/it]
Epoch 45 | KGC loss: 1.829152, DiffHEG loss 83.041797:  11%|█▏        | 45/400 [12:38<1:37:31, 16.48s/it]
Epoch 45 | KGC loss: 1.829152, DiffHEG loss 83.041797:  12%|█▏        | 46/400 [12:38<1:37:10, 16.47s/it]
Epoch 46 | KGC loss: 1.811125, DiffHEG loss 81.778171:  12%|█▏        | 46/400 [12:54<1:37:10, 16.47s/it]
Epoch 46 | KGC loss: 1.811125, DiffHEG loss 81.778171:  12%|█▏        | 47/400 [12:54<1:36:47, 16.45s/it]
Epoch 47 | KGC loss: 1.864781, DiffHEG loss 81.450915:  12%|█▏        | 47/400 [13:10<1:36:47, 16.45s/it]
Epoch 47 | KGC loss: 1.864781, DiffHEG loss 81.450915:  12%|█▏        | 48/400 [13:10<1:36:26, 16.44s/it]
Epoch 48 | KGC loss: 1.832726, DiffHEG loss 81.418752:  12%|█▏        | 48/400 [13:27<1:36:26, 16.44s/it]
Epoch 48 | KGC loss: 1.832726, DiffHEG loss 81.418752:  12%|█▏        | 49/400 [13:27<1:36:04, 16.42s/it]
Epoch 49 | KGC loss: 1.854741, DiffHEG loss 81.406881:  12%|█▏        | 49/400 [13:43<1:36:04, 16.42s/it]
Epoch 49 | KGC loss: 1.854741, DiffHEG loss 81.406881:  12%|█▎        | 50/400 [13:43<1:35:47, 16.42s/it]
Epoch 50 | KGC loss: 1.792587, DiffHEG loss 81.412407:  12%|█▎        | 50/400 [14:00<1:35:47, 16.42s/it]
Epoch 50 | KGC loss: 1.792587, DiffHEG loss 81.412407:  13%|█▎        | 51/400 [14:00<1:35:30, 16.42s/it]
Epoch 51 | KGC loss: 1.820490, DiffHEG loss 81.417123:  13%|█▎        | 51/400 [14:16<1:35:30, 16.42s/it]
Epoch 51 | KGC loss: 1.820490, DiffHEG loss 81.417123:  13%|█▎        | 52/400 [14:16<1:35:13, 16.42s/it]
Epoch 52 | KGC loss: 1.788260, DiffHEG loss 81.414762:  13%|█▎        | 52/400 [14:32<1:35:13, 16.42s/it]
Epoch 52 | KGC loss: 1.788260, DiffHEG loss 81.414762:  13%|█▎        | 53/400 [14:32<1:34:55, 16.41s/it]
Epoch 53 | KGC loss: 1.825290, DiffHEG loss 81.406499:  13%|█▎        | 53/400 [14:49<1:34:55, 16.41s/it]
Epoch 53 | KGC loss: 1.825290, DiffHEG loss 81.406499:  14%|█▎        | 54/400 [14:49<1:34:39, 16.41s/it]
Epoch 54 | KGC loss: 1.796728, DiffHEG loss 81.402914:  14%|█▎        | 54/400 [15:05<1:34:39, 16.41s/it]
Epoch 54 | KGC loss: 1.796728, DiffHEG loss 81.402914:  14%|█▍        | 55/400 [15:05<1:34:23, 16.42s/it]
Epoch 55 | KGC loss: 1.838750, DiffHEG loss 81.419453:  14%|█▍        | 55/400 [15:22<1:34:23, 16.42s/it]
Epoch 55 | KGC loss: 1.838750, DiffHEG loss 81.419453:  14%|█▍        | 56/400 [15:22<1:34:08, 16.42s/it]
Epoch 56 | KGC loss: 1.795640, DiffHEG loss 81.415910:  14%|█▍        | 56/400 [15:38<1:34:08, 16.42s/it]
Epoch 56 | KGC loss: 1.795640, DiffHEG loss 81.415910:  14%|█▍        | 57/400 [15:38<1:33:48, 16.41s/it]
Epoch 57 | KGC loss: 1.848874, DiffHEG loss 81.409534:  14%|█▍        | 57/400 [15:54<1:33:48, 16.41s/it]
Epoch 57 | KGC loss: 1.848874, DiffHEG loss 81.409534:  14%|█▍        | 58/400 [15:54<1:33:32, 16.41s/it]
Epoch 58 | KGC loss: 1.803679, DiffHEG loss 81.410823:  14%|█▍        | 58/400 [16:11<1:33:32, 16.41s/it]
Epoch 58 | KGC loss: 1.803679, DiffHEG loss 81.410823:  15%|█▍        | 59/400 [16:11<1:33:19, 16.42s/it]
Epoch 59 | KGC loss: 1.819736, DiffHEG loss 81.409458:  15%|█▍        | 59/400 [16:27<1:33:19, 16.42s/it]
Epoch 59 | KGC loss: 1.819736, DiffHEG loss 81.409458:  15%|█▌        | 60/400 [16:27<1:33:02, 16.42s/it]
