Epoch 42 | KGC loss: 0.418088, DiffHEG loss 47.948790:  11%|█         | 43/400 [14:51<2:03:20, 20.73s/it]
Epoch 43 | KGC loss: 0.416853, DiffHEG loss 47.900241:  11%|█         | 43/400 [15:12<2:03:20, 20.73s/it]
Epoch 43 | KGC loss: 0.416853, DiffHEG loss 47.900241:  11%|█         | 44/400 [15:12<2:03:02, 20.74s/it]
Epoch 44 | KGC loss: 0.407819, DiffHEG loss 47.891304:  11%|█         | 44/400 [15:32<2:03:02, 20.74s/it]
Epoch 44 | KGC loss: 0.407819, DiffHEG loss 47.891304:  11%|█▏        | 45/400 [15:32<2:02:43, 20.74s/it]
Epoch 45 | KGC loss: 0.403810, DiffHEG loss 47.966984:  11%|█▏        | 45/400 [15:53<2:02:43, 20.74s/it]
Epoch 45 | KGC loss: 0.403810, DiffHEG loss 47.966984:  12%|█▏        | 46/400 [15:53<2:02:15, 20.72s/it]
Epoch 46 | KGC loss: 0.402879, DiffHEG loss 48.144867:  12%|█▏        | 46/400 [16:14<2:02:15, 20.72s/it]
Epoch 46 | KGC loss: 0.402879, DiffHEG loss 48.144867:  12%|█▏        | 47/400 [16:14<2:01:50, 20.71s/it]
Epoch 47 | KGC loss: 0.407428, DiffHEG loss 48.122647:  12%|█▏        | 47/400 [16:34<2:01:50, 20.71s/it]
Epoch 47 | KGC loss: 0.407428, DiffHEG loss 48.122647:  12%|█▏        | 48/400 [16:34<2:01:27, 20.70s/it]
Epoch 48 | KGC loss: 0.419886, DiffHEG loss 47.945291:  12%|█▏        | 48/400 [16:55<2:01:27, 20.70s/it]
Epoch 48 | KGC loss: 0.419886, DiffHEG loss 47.945291:  12%|█▏        | 49/400 [16:55<2:01:07, 20.71s/it]
Epoch 49 | KGC loss: 0.408717, DiffHEG loss 47.926622:  12%|█▏        | 49/400 [17:16<2:01:07, 20.71s/it]
Epoch 49 | KGC loss: 0.408717, DiffHEG loss 47.926622:  12%|█▎        | 50/400 [17:16<2:00:47, 20.71s/it]
Epoch 50 | KGC loss: 0.412024, DiffHEG loss 47.911440:  12%|█▎        | 50/400 [17:37<2:00:47, 20.71s/it]
Epoch 50 | KGC loss: 0.412024, DiffHEG loss 47.911440:  13%|█▎        | 51/400 [17:37<2:00:29, 20.71s/it]
Epoch 51 | KGC loss: 0.421835, DiffHEG loss 47.912853:  13%|█▎        | 51/400 [17:57<2:00:29, 20.71s/it]
