method,seed,split,MRR,MR,Hit@10,Hit@3,Hit@1,checkpoint,log_file
soft_token,0,Overall,0.32652348279953003,849.699951171875,0.46806269884109497,0.3671034276485443,0.24555450677871704,./checkpoint/phase1_mkgw/rotate_softtoken_seed0.ckpt,results/phase1_mkgw/soft_token_seed0.log
soft_token,0,Head/Tail Missing Text,0.30405419881499085,1124.8654434250764,0.44648318042813456,0.3287461773700306,0.22782874617737003,./checkpoint/phase1_mkgw/rotate_softtoken_seed0.ckpt,results/phase1_mkgw/soft_token_seed0.log
soft_token,0,Head/Tail Both Have Text,0.32838521483600647,826.9030909551558,0.469850519381809,0.37028122624778315,0.2470230554851786,./checkpoint/phase1_mkgw/rotate_softtoken_seed0.ckpt,results/phase1_mkgw/soft_token_seed0.log
soft_token,0,Head/Tail Injected Missing Text,nan,nan,nan,nan,nan,./checkpoint/phase1_mkgw/rotate_softtoken_seed0.ckpt,results/phase1_mkgw/soft_token_seed0.log
soft_token,1,Overall,0.32742831110954285,862.9011840820312,0.4675947427749634,0.3702620565891266,0.24672438204288483,./checkpoint/phase1_mkgw/rotate_softtoken_seed1.ckpt,results/phase1_mkgw/soft_token_seed1.log
soft_token,1,Head/Tail Missing Text,0.3018118055786548,1117.4495412844037,0.44036697247706424,0.3379204892966361,0.22629969418960244,./checkpoint/phase1_mkgw/rotate_softtoken_seed1.ckpt,results/phase1_mkgw/soft_token_seed1.log
soft_token,1,Head/Tail Both Have Text,0.329551138001779,841.8123891563213,0.469850519381809,0.3729414745376235,0.248416518875095,./checkpoint/phase1_mkgw/rotate_softtoken_seed1.ckpt,results/phase1_mkgw/soft_token_seed1.log
soft_token,1,Head/Tail Injected Missing Text,nan,nan,nan,nan,nan,./checkpoint/phase1_mkgw/rotate_softtoken_seed1.ckpt,results/phase1_mkgw/soft_token_seed1.log
soft_token,2,Overall,0.3248097896575928,852.6309814453125,0.46771174669265747,0.3688582181930542,0.24157698452472687,./checkpoint/phase1_mkgw/rotate_softtoken_seed2.ckpt,results/phase1_mkgw/soft_token_seed2.log
soft_token,2,Head/Tail Missing Text,0.3042834559239549,1106.5581039755352,0.43883792048929665,0.3318042813455658,0.22935779816513763,./checkpoint/phase1_mkgw/rotate_softtoken_seed2.ckpt,results/phase1_mkgw/soft_token_seed2.log
soft_token,2,Head/Tail Both Have Text,0.32651059571408564,831.5937420825944,0.4701038763617938,0.3719280466176843,0.24258930833544465,./checkpoint/phase1_mkgw/rotate_softtoken_seed2.ckpt,results/phase1_mkgw/soft_token_seed2.log
soft_token,2,Head/Tail Injected Missing Text,nan,nan,nan,nan,nan,./checkpoint/phase1_mkgw/rotate_softtoken_seed2.ckpt,results/phase1_mkgw/soft_token_seed2.log
soft_token_retrieval,0,Overall,0.3242335319519043,855.6541748046875,0.46782875061035156,0.3682732880115509,0.24122601747512817,./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed0.ckpt,results/phase1_mkgw/soft_token_retrieval_seed0.log
soft_token_retrieval,0,Head/Tail Missing Text,0.3006652040216845,1095.9464831804282,0.44801223241590216,0.3302752293577982,0.22324159021406728,./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed0.ckpt,results/phase1_mkgw/soft_token_retrieval_seed0.log
soft_token_retrieval,0,Head/Tail Both Have Text,0.32618661592566944,835.7465163415252,0.46947048391183177,0.3714213326577147,0.24271598682543705,./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed0.ckpt,results/phase1_mkgw/soft_token_retrieval_seed0.log
soft_token_retrieval,0,Head/Tail Injected Missing Text,nan,nan,nan,nan,nan,./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed0.ckpt,results/phase1_mkgw/soft_token_retrieval_seed0.log
soft_token_retrieval,1,Overall,0.3178141713142395,869.4004516601562,0.4624473452568054,0.3675713539123535,0.23198409378528595,./checkpoint/phase1_mkgw/rotate_retrieval_w025_seed1.ckpt,results/phase1_mkgw/soft_token_retrieval_seed1.log
